## OBSID  START_UTC             STOP_UTC              EXPOSURE   ROLL  FP_TEMP DATE_PROCESSED      ASCDSVER  CALDBVER DETNAM      GRATING READMODE DATAMODE OBJECT

31 18732  2016-07-18T12:22:57.9 2016-07-19T11:50:47.9   76609.83 272.2 -117.8  2016-07-20T06:04:14 10.5      4.7.2    ACIS-7      NONE    TIMED    FAINT    SgrA*
32 18057  2016-10-08T19:21:31.7 2016-10-09T02:19:20.1   22735.71 267.2 -119.7  2016-10-09T12:21:50 10.5.1.1  4.7.2    ACIS-7      NONE    TIMED    FAINT    SgrA*
33 18058  2016-10-14T11:07:17.2 2016-10-14T18:05:06.8   22736.74 266.2 -119.1  2016-10-15T04:32:14 10.5.1.1  4.7.2    ACIS-7      NONE    TIMED    FAINT    SgrA*
34 19726  2017-04-06T04:00:57.4 2017-04-06T12:38:46.1   28177.71  86.7 -116.7  2017-04-07T00:15:47 10.5.2    4.7.3    ACIS-7      NONE    TIMED    FAINT    SgrA*
35 19727  2017-04-07T05:10:55.2 2017-04-07T13:41:47.4   27799.96  86.6 -116.7  2017-04-07T22:38:47 10.5.2    4.7.3    ACIS-7      NONE    TIMED    FAINT    SgrA*
36 20041  2017-04-11T04:09:18.4 2017-04-11T13:37:07.2   30898.60  86.1 -119.6  2017-04-12T00:32:02 10.5.4    4.7.3    ACIS-7      NONE    TIMED    FAINT    SgrA*
37 20040  2017-04-12T05:35:12.4 2017-04-12T14:01:07.6   27530.56  86.1 -117.0  2017-04-13T05:33:10 10.5.4    4.7.3    ACIS-7      NONE    TIMED    FAINT    SgrA*
38 19703  2017-07-15T22:55:51.9 2017-07-16T23:44:10.3   80988.93 270.2 -117.1  2017-07-17T16:48:36 10.6      4.7.5    ACIS-7      NONE    TIMED    FAINT    SgrA*
39 19704  2017-07-25T23:11:60.0 2017-07-26T23:13:09.4   78423.23 276.4 -116.8  2017-07-27T06:25:22 10.6      4.7.5    ACIS-7      NONE    TIMED    FAINT    SgrA*
40 20344  2018-04-20T03:40:30.4 2018-04-20T12:34:59.8   29085.27  72.2 -115.7  2018-04-20T22:26:28 10.6      4.7.8    ACIS-7      NONE    TIMED    FAINT    SgrA*
41 20345  2018-04-22T03:59:40.5 2018-04-22T12:44:12.4   28543.44  72.2 -115.0  2018-04-22T22:40:38 10.6      4.7.8    ACIS-7      NONE    TIMED    FAINT    SgrA*
42 20346  2018-04-24T03:46:39.7 2018-04-24T12:57:48.1   29991.29  80.2 -118.3  2018-04-25T04:40:34 10.6      4.7.8    ACIS-7      NONE    TIMED    FAINT    SgrA*
43 20347  2018-04-25T03:55:06.3 2018-04-25T13:56:15.1   32712.50  84.3 -115.7  2018-04-25T23:17:47 10.6      4.7.8    ACIS-7      NONE    TIMED    FAINT    SgrA*
44 21453  2019-03-29T04:20:48.6 2019-03-29T13:31:57.4   29991.65  93.2 -115.8  2019-03-30T03:04:07 10.7.1    4.8.2    ACIS-7      NONE    TIMED    FAINT    SgrA*
45 21454  2019-03-30T05:58:12.3 2019-03-30T15:18:05.4   30467.26  93.2 -118.3  2019-03-31T03:40:21 10.7.1    4.8.2    ACIS-7      NONE    TIMED    FAINT    SgrA*
46 21455  2019-03-31T05:36:19.1 2019-03-31T14:47:28.6   29992.27  93.2 -117.5  2019-04-01T11:36:20 10.7.1    4.8.2    ACIS-7      NONE    TIMED    FAINT    SgrA*
47 21456  2019-04-01T04:46:30.0 2019-04-01T13:57:39.2   29992.01  93.2 -117.6  2019-04-02T02:57:45 10.7.1    4.8.2    ACIS-7      NONE    TIMED    FAINT    SgrA*

Total Exposure:                                       1624188.41

