ellipse(4043.608696,3895.695652,5.611787,3.949744,60.892158)
ellipse(4127.200000,3904.900000,6.020941,4.604158,145.572042)
ellipse(4025.800000,3917.900000,3.515565,2.809058,9.399943)
ellipse(4118.250000,3925.062500,7.188293,5.861381,80.028324)
ellipse(4059.867925,4004.113208,7.229599,5.040234,113.162065)
ellipse(4103.431818,4034.522727,5.638729,4.298422,61.878313)
ellipse(4146.850000,4036.700000,5.784799,4.046430,12.624651)
ellipse(4016.090909,4040.272727,4.090857,2.658297,98.729601)
ellipse(4060.787037,4056.824074,2.200573,2.153466,64.599207)
ellipse(4071.625000,4056.980769,4.182796,3.304234,34.024597)
ellipse(4063.285714,4059.946429,2.377966,2.086291,17.790859)
ellipse(4018.758621,4061.655172,3.839742,3.265249,105.636452)
ellipse(4116.248428,4071.600629,3.155051,2.784393,67.449226)
ellipse(4070.200000,4074.172500,6.838330,4.999194,98.521782)
ellipse(4063.172222,4105.344444,10.297956,5.335484,48.982119)
ellipse(4021.821918,4131.383562,8.720113,6.052918,145.585580)
ellipse(4067.350000,4236.300000,5.358752,3.481562,22.197876)
ellipse(4122.583333,4222.333333,4.956396,1.903061,57.441307)
ellipse(4080.000000,4023.416667,2.449490,2.277608,0.000000)
ellipse(4037.250000,4064.333333,2.802118,2.199007,132.026568)
