 
--------------------------------------------------------------------------------
Data for Table Block SRCLIST
--------------------------------------------------------------------------------
 
ROW    RA                   DEC                  RA_ERR               DEC_ERR              POS(X,Y)                                 X_ERR                Y_ERR                NPIXSOU    NET_COUNTS           NET_COUNTS_ERR       BKG_COUNTS           BKG_COUNTS_ERR       NET_RATE             NET_RATE_ERR         BKG_RATE             BKG_RATE_ERR         EXPTIME              EXPTIME_ERR          SRC_SIGNIFICANCE     PSF_SIZE             MULTI_CORREL_MAX SHAPE        R[2]                                     ROTANG               PSFRATIO             COMPONENT
 
     1       266.4217383054       -29.0361751323      3.135471093E-05      2.582945342E-05 (     4060.1523809524,     3922.5619047619)     0.20058008952537     0.18900566142247        126        92.4431610107        10.2472429276        12.5568389893     0.07733348011971        92.4431610107        10.2472429276        12.5568389893     0.07733348011971                  1.0                    0        19.8894290924         2.5110018253          0 ellipse      [        6.2191343307         5.7532887459]       159.9103851318     0.79406261444092          1
     2       266.4018061590       -29.0361146268      4.254301354E-05      4.496929051E-09       (     4187.6666666667,     3923.0)     0.27216552697519                    0         72        13.5936393738         4.3591928482         5.4063601494     0.05063466355205        13.5936393738         4.3591928482         5.4063601494     0.05063466355205                  1.0                    0         3.9048702717         2.5491211414          0 ellipse      [        1.4142135382      3.576278687E-07]                180.0       9.29953967E-05          2
     3       266.3940348245       -29.0335424278      2.445781013E-05      2.878048497E-05 (     4237.3866666667,     3941.8133333333)     0.15651008723853     0.21055974783258        101        67.0131378174         8.6604785919         7.9868621826     0.06235236302018        67.0131378174         8.6604785919         7.9868621826     0.06235236302018                  1.0                    0        16.9403991699         2.5921368599          0 ellipse      [        5.6250452995         3.8496320248]        71.3808441162     0.59840255975723          3
     4       266.4345735294       -29.0323411336      8.147210713E-05       3.60810297E-05 (     3978.0357142857,     3950.6071428571)     0.52118913988443     0.26408914366539         78        21.0542640686         5.2918105125         6.9457354546     0.05708457157016        21.0542640686         5.2918105125         6.9457354546     0.05708457157016                  1.0                    0         5.5785908699         2.5392544270          0 ellipse      [        8.6522121429         3.3417482376]       161.5072174072     0.70586717128754          4
     5       266.4200898196       -29.0303297638      5.543446241E-05      3.546330409E-05 (     4070.6969696970,     3965.3333333333)     0.35464864720734     0.25949964805386         68        24.4327163696         5.7449169159         8.5672836304     0.06380891799927        24.4327163696         5.7449169159         8.5672836304     0.06380891799927                  1.0                    0         6.0291628838         2.3984904289          0 ellipse      [        6.5173144341         3.8574581146]        25.5146636963     0.69682818651199          5
     6       266.4068277653       -29.0289214280      7.065356931E-05       4.73890443E-05 (     4155.5454545455,     3975.6363636364)     0.45205931673263     0.34671366881685         50         8.0102720261         3.3168365955         2.9897277355     0.03748500347137         8.0102720261         3.3168365955         2.9897277355     0.03748500347137                  1.0                    0         2.7303051949         2.3860268593          0 ellipse      [        5.1569876671         2.3532338142]       146.6524505615     0.48666936159134          6
     7       266.4363077159       -29.0262374171      7.723585611E-05      3.519711525E-05 (     3966.9333333333,     3995.2666666667)     0.49411349723323     0.25762447548777         49         9.9621515274         3.8732929230         5.0378484726     0.04897193238139         9.9621515274         3.8732929230         5.0378484726     0.04897193238139                  1.0                    0         2.9250590801         2.4629516602          0 ellipse      [        5.7549118996         2.9666457176]         4.6381993294     0.55921018123627          7
     8       266.3981895890       -29.0233423490      1.380345151E-05      1.101767554E-05 (     4210.8175182482,     4016.4525547445)     0.08832959970732     0.08060377606853        107       135.9544372559        12.0417776108         9.0455560684     0.06637972593307       135.9544372559        12.0417776108         9.0455560684     0.06637972593307                  1.0                    0        32.9204635620         2.3791375160          0 ellipse      [        3.3698954582         2.5049111843]       144.2311553955     0.40706482529640          8
     9       266.3863033429       -29.0218590920      4.660562803E-05      2.871264137E-05 (     4286.8709677419,     4027.2903225806)     0.29824996145635     0.21001733433741         62        27.4255008698         5.5679154396         3.5744996071     0.04098462685943        27.4255008698         5.5679154396         3.5744996071     0.04098462685943                  1.0                    0         8.9057044983         2.5317730904          0 ellipse      [        5.7449822426         2.0295336246]       147.8338928223     0.44956910610199          9
    10       266.3958325934       -29.0218048659      4.104895072E-05      2.767904219E-05              (     4225.90,     4027.70)     0.26267851073135     0.20248456731315         31         8.1628093719         3.1624076366         1.8371902704     0.02868171222508         8.1628093719         3.1624076366         1.8371902704     0.02868171222508                  1.0                    0         3.1293423176         2.3868024349          0 ellipse      [        2.8594090939         1.3129277229]       146.4943542480     0.27059566974640         10
    11       266.3802580395       -29.0196498953      3.566727628E-05      4.355208703E-05 (     4325.5555555556,     4043.4444444444)     0.22831162973944     0.31860463952034         38         6.7630786896         3.0002114773         2.2369210720     0.03561712428927         6.7630786896         3.0002114773         2.2369210720     0.03561712428927                  1.0                    0         2.4788880348         2.6520090103          0 ellipse      [        3.2398691177         1.3955974579]        58.9486351013     0.26726838946342         11
    12       266.4421767094       -29.0159408547      5.338263611E-05      4.154274538E-05      (     3929.3666666667,     4070.60)     0.34151080455740     0.30404678002651         76        21.1077251434         5.4776139259         8.8922758102     0.06521610170603        21.1077251434         5.4776139259         8.8922758102     0.06521610170603                  1.0                    0         5.1417026520         2.4438152313          0 ellipse      [        6.1159815788         4.3640313148]       145.4168090820     0.70467263460159         12
    13       266.4095841505       -29.0134712668      2.429024414E-05      2.174330132E-05   (     4137.9166666667,     4088.68750)     0.15543770337172     0.15908879530525         98        61.1931190491         9.1109895706        21.8068828583     0.10062167048454        61.1931190491         9.1109895706        21.8068828583     0.10062167048454                  1.0                    0        10.6433763504         2.2594244480          0 ellipse      [        4.0566616058         2.2168872356]        46.2317199707     0.44242241978645         13
