 
--------------------------------------------------------------------------------
Data for Table Block SRCLIST
--------------------------------------------------------------------------------
 
ROW    RA                   DEC                  RA_ERR               DEC_ERR              POS(X,Y)                                 X_ERR                Y_ERR                NPIXSOU    NET_COUNTS           NET_COUNTS_ERR       BKG_COUNTS           BKG_COUNTS_ERR       NET_RATE             NET_RATE_ERR         BKG_RATE             BKG_RATE_ERR         EXPTIME              EXPTIME_ERR          SRC_SIGNIFICANCE     PSF_SIZE             MULTI_CORREL_MAX SHAPE        R[2]                                     ROTANG               PSFRATIO             COMPONENT
 
     1       266.4301559608       -29.0369750062       5.12363867E-05      4.478941778E-05          (     4038.1250,     3933.1250)     0.32775276505299     0.32775276505299         39         6.3568682671         2.8285634518         1.6431318521     0.02776385657489         6.3568682671         2.8285634518         1.6431318521     0.02776385657489                  1.0                    0         2.4958503246         2.4981069565          0 ellipse      [        2.8062429428         2.7556760311]                 90.0     0.37106025218964          1
     2       266.4217754599       -29.0361268404      3.723985532E-05      4.639975285E-05 (     4091.7380952381,     3939.3333333333)     0.23823691929647     0.33951189898744         75        31.7999382019         6.4811182022        10.2000627518     0.06995619088411        31.7999382019         6.4811182022        10.2000627518     0.06995619088411                  1.0                    0         7.3797373772         2.4563519955          0 ellipse      [        6.7177734375         4.4606089592]       104.3838272095     0.74284446239471          2
     3       266.4201381275       -29.0303696634      2.968653337E-05      4.351012858E-05 (     4102.2131147541,     3981.4590163934)     0.18993026075259     0.31836535804769         87        39.2516517639         7.8109140396        21.7483501434     0.10187818109989        39.2516517639         7.8109140396        21.7483501434     0.10187818109989                  1.0                    0         6.8344058990         2.3568611145          0 ellipse      [        7.5387945175         4.3145856857]       100.1579132080     0.80661308765411          3
     4       266.4104362785       -29.0267921873      6.811074041E-05      4.055681298E-05 (     4164.2857142857,     4007.6326530612)      0.4357991123270     0.29671795920422         77        25.3104438782         7.0008172989        23.6895561218     0.10697236657143        25.3104438782         7.0008172989        23.6895561218     0.10697236657143                  1.0                    0         4.2584095001         2.3448290825          0 ellipse      [        9.3182449341         5.9792752266]        14.2022085190         1.0611063242          4
     5       266.4082719811       -29.0262224628      3.568980617E-05      1.911500353E-05      (     4178.1333333333,     4011.80)     0.22835969028711     0.13984117975588         27         9.5436248779         3.8733282089         5.4563746452     0.05168925970793         9.5436248779         3.8733282089         5.4563746452     0.05168925970793                  1.0                    0         2.7335765362         2.3482015133          0 ellipse      [        2.7453527451         1.4639121294]       162.3299407959     0.28457710146904          5
     6       266.4090128268       -29.0243969519      2.939207701E-05      3.074212739E-05 (     4173.3947368421,     4025.1578947368)     0.18807772927630     0.22492324264613         32        29.4195384979         6.1647458076         8.5804615021     0.06398034095764        29.4195384979         6.1647458076         8.5804615021     0.06398034095764                  1.0                    0         7.2558774948         2.3327865601          0 ellipse      [        4.3412470818         3.2485623360]        64.4341354370     0.53660732507706          6
     7       266.4084406426       -29.0245247750      2.596536501E-05      2.749464423E-05 (     4177.0555555556,     4024.2222222222)     0.16615146708227     0.20116260168879         32        22.7723503113         5.4775371552         7.2276487350     0.05842830985785        22.7723503113         5.4775371552         7.2276487350     0.05842830985785                  1.0                    0         5.9543757439         2.3345732689          0 ellipse      [        2.7262458801         1.8961437941]       118.5576171875     0.32463055849075          7
     8       266.4098718705       -29.0242522277      3.091377033E-05      2.550172665E-05 (     4167.8985507246,     4026.2173913043)     0.19780875598099     0.18657929048868         53        51.6179275513         8.3071298599        17.3820705414     0.09166392683983        51.6179275513         8.3071298599        17.3820705414     0.09166392683983                  1.0                    0         9.8166971207         2.3289341927          0 ellipse      [        4.9477205276         4.6299986839]        14.1262712479     0.68503779172897          8
     9       266.4106375005       -29.0241453323      2.249070803E-05      1.662396087E-05                (     4163.0,     4027.0)     0.14390989949152     0.12162606385255         35        38.0447921753         7.1418638229        12.9552087784     0.07884814590216        38.0447921753         7.1418638229        12.9552087784     0.07884814590216                  1.0                    0         8.0910997391         2.3251624107          0 ellipse      [        2.2198805809         1.8384293318]        13.2825260162     0.28961011767387          9
    10       266.4115912655       -29.0240273720      3.416519911E-05      2.165386414E-05 (     4156.8977272727,     4027.8636363636)     0.21860740495686     0.15842540852918         56        65.3193054199         9.3814096451        22.6806945801     0.10412984341383        65.3193054199         9.3814096451        22.6806945801     0.10412984341383                  1.0                    0        11.1838045120         2.3209631443          0 ellipse      [        6.2040348053         4.3860116005]        10.5134172440     0.74917364120483         10
    11       266.4129292703       -29.0238887673      3.811448551E-05      2.099968163E-05 (     4148.3370165746,     4028.8784530387)     0.24387381107863     0.15363944219553        117       129.4343261719         13.454542160        51.5656814575     0.15716069936752       129.4343261719         13.454542160        51.5656814575     0.15716069936752                  1.0                    0        15.7214841843         2.3159894943          0 ellipse      [       10.2319765091         5.5356283188]        18.9503917694         1.0831918716         11
    12       266.4148880966       -29.0234797060      4.283860642E-05      1.701863351E-05 (     4135.8042553191,     4031.8723404255)     0.27409658991110     0.12451228258851        142       168.9645843506        15.3307437897        66.0354232788     0.17809391021729       168.9645843506        15.3307437897        66.0354232788     0.17809391021729                  1.0                    0        18.4213104248         2.3054246902          0 ellipse      [       12.6074037552         5.7219376564]       178.8717956543         1.2280391455         12
    13       266.4170785354       -29.0231170779      2.109861339E-05      1.414799395E-05 (     4121.7894736842,     4034.5263157895)     0.13499715159014     0.10351737917472         36        50.6669425964         8.1858310699        16.3330593109     0.08847494423389        50.6669425964         8.1858310699        16.3330593109     0.08847494423389                  1.0                    0         9.8705053329         2.2962491512          0 ellipse      [        2.5101454258         1.8964906931]       170.8660430908     0.31672659516335         13
