 
--------------------------------------------------------------------------------
Data for Table Block SRCLIST
--------------------------------------------------------------------------------
 
ROW    RA                   DEC                  RA_ERR               DEC_ERR              POS(X,Y)                                 X_ERR                Y_ERR                NPIXSOU    NET_COUNTS           NET_COUNTS_ERR       BKG_COUNTS           BKG_COUNTS_ERR       NET_RATE             NET_RATE_ERR         BKG_RATE             BKG_RATE_ERR         EXPTIME              EXPTIME_ERR          SRC_SIGNIFICANCE     PSF_SIZE             MULTI_CORREL_MAX SHAPE        R[2]                                     ROTANG               PSFRATIO             COMPONENT
 
     1       266.4215953040       -29.0362403420      3.444450431E-05       3.56743035E-05       (     4047.3488372093,     3888.0)     0.22033879447008     0.26104586419342         54        26.3190059662         6.5580363274        16.6809940338     0.08854852616787        26.3190059662         6.5580363274        16.6809940338     0.08854852616787                  1.0                    0         5.0857548714         2.5316374302          0 ellipse      [        5.5691547394         3.7610032558]        58.3564567566     0.60259252786636          1
     2       266.4201123945       -29.0302824036      3.681194698E-05      3.414467887E-05 (     4056.8333333333,     3931.5952380952)     0.23550174801494     0.24985148379847         46        19.8319931030         6.4815430641        22.1680068970     0.10197933018208        19.8319931030         6.4815430641        22.1680068970     0.10197933018208                  1.0                    0         3.4268271923         2.3856616020          0 ellipse      [        4.9138364792         4.5183444023]        67.4445877075     0.65836983919144          2
     3       266.4111691803       -29.0256477096      2.633743725E-05      1.892494969E-05 (     4114.0508474576,     3965.5084745763)     0.16851196395419     0.13847132198725         65        70.4618835449        10.6311054230        42.5381164551     0.14280591905117        70.4618835449        10.6311054230        42.5381164551     0.14280591905117                  1.0                    0         9.2965354919         2.3044903278          0 ellipse      [        3.9080724716         3.1602139473]       168.9379730225     0.50832724571228          3
     4       266.4102231747       -29.0256794775      2.451417271E-05      1.987948327E-05 (     4120.1034482759,     3965.2758620690)     0.15684787108512     0.14545473182761         36        40.6091728210         7.8746643066        21.3908271790     0.10166218876839        40.6091728210         7.8746643066        21.3908271790     0.10166218876839                  1.0                    0         7.1176681519         2.3050050735          0 ellipse      [        2.6041786671         2.2718226910]        28.1549663544     0.35174623131752          4
     5       266.4090224565       -29.0257073786      3.092707556E-05       1.86329568E-05 (     4127.7857142857,     3965.0714285714)     0.19787910108425     0.13633050220324         85        58.7992744446          9.950840950        40.2007255554     0.13866995275021        58.7992744446          9.950840950        40.2007255554     0.13866995275021                  1.0                    0         7.9466261864         2.3069958687          0 ellipse      [        3.9369938374         2.5152752399]       163.9770355225     0.45468127727509          5
     6       266.4135301498       -29.0255655847      2.706382907E-05      1.600920279E-05 (     4098.9452054795,     3966.1095890411)     0.17315676571525     0.11713993927196         93       107.6303634644        13.2677335739        68.3696365356     0.18097326159477       107.6303634644        13.2677335739        68.3696365356     0.18097326159477                  1.0                    0        11.5559816360         2.3024113178          0 ellipse      [        4.4528112411         2.9810528755]       173.7778015137     0.52747005224228          6
     7       266.4122345768       -29.0255805519      2.601563563E-05      1.626317296E-05          (     4107.2343750,     3966.0)     0.16645163333578     0.11899645477934         51        52.2458496094         9.3817434311        35.7541503906     0.13077715039253        52.2458496094         9.3817434311        35.7541503906     0.13077715039253                  1.0                    0         7.4193181992         2.3021223545          0 ellipse      [        4.0026984215         2.8448891640]         5.1083946228     0.48860675096512          7
     8       266.4193348901       -29.0253213988      2.685097263E-05      1.635154544E-05 (     4061.8059701493,     3967.8955223881)     0.17178943159661     0.11965333523085         85       108.4000778198        13.0778341293        62.5999259949     0.17243525385857       108.4000778198        13.0778341293        62.5999259949     0.17243525385857                  1.0                    0        12.0992126465         2.3160033226          1 ellipse      [        4.2234745026         2.9310178757]         3.8753094673     0.50638836622238          8
     9       266.4178643219       -29.0254003070      2.611494546E-05      1.881099747E-05 (     4071.2148148148,     3967.3185185185)     0.16708102736357     0.13764703149263         58        90.4396591187        11.6198673248        44.5603370667     0.14602848887444        90.4396591187        11.6198673248        44.5603370667     0.14602848887444                  1.0                    0        11.6978664398         2.3120405674          0 ellipse      [        5.9263191223         4.6708683968]       162.4984130859     0.75853329896927          9
    10       266.4164788870       -29.0254294854      1.962422022E-05      1.746352584E-05 (     4080.0789473684,     3967.1052631579)     0.12555460868043     0.12778462708775         25        43.6249580383         7.9378414154        19.3750419617     0.09657663106918        43.6249580383         7.9378414154        19.3750419617     0.09657663106918                  1.0                    0         7.9519152641         2.3059058189          0 ellipse      [        2.5981886387         2.0555236340]       132.8060760498     0.33406713604927         10
    11       266.4154248791       -29.0254747475      2.727374778E-05      1.476007341E-05 (     4086.8225806452,     3966.7741935484)     0.17449823047582     0.10800276241935         77        94.4834365845        12.3704462051        58.5165634155     0.16714984178543        94.4834365845        12.3704462051        58.5165634155     0.16714984178543                  1.0                    0        10.8620653152         2.3045122623          0 ellipse      [        4.1481776237         2.5084583759]       171.9040679932     0.46658614277840         11
    12       266.4214988445       -29.0252909375      1.887407871E-05      2.560329257E-05 (     4047.9607843137,     3968.1176470588)     0.12074606064016     0.18734893198871         24        34.2661018372         7.1419906616        16.7338981628     0.08962521702051        34.2661018372         7.1419906616        16.7338981628     0.08962521702051                  1.0                    0         6.6133222580         2.3266694546          0 ellipse      [        4.0478091240         2.5333790779]        80.4554214478     0.45877966284752         12
